x,y,time,label
1482,731,1770701894.8590658,human
1486,731,1770701894.865888,human
1487,732,1770701894.8727593,human
1488,733,1770701895.2546077,human
1489,733,1770701895.2609878,human
1490,734,1770701895.274251,human
1490,734,1770701895.280097,human
1491,734,1770701895.2935634,human
1491,735,1770701895.3206282,human
1492,735,1770701895.3263445,human
1492,736,1770701895.3397348,human
1492,737,1770701895.3593733,human
1491,737,1770701895.3662238,human
1490,738,1770701895.372566,human
1487,739,1770701895.3793907,human
1483,742,1770701895.385681,human
1477,746,1770701895.391911,human
1471,748,1770701895.3991828,human
1464,752,1770701895.4056668,human
1457,754,1770701895.412016,human
1451,755,1770701895.4187725,human
1444,757,1770701895.4251468,human
1435,759,1770701895.4319735,human
1428,760,1770701895.4386268,human
1423,761,1770701895.4449432,human
1416,762,1770701895.4518096,human
1411,762,1770701895.4580228,human
1407,763,1770701895.4651334,human
1403,763,1770701895.4710162,human
1401,763,1770701895.477665,human
1397,764,1770701895.4845552,human
1395,764,1770701895.491007,human
1394,764,1770701895.497626,human
1392,764,1770701895.5042381,human
1391,764,1770701895.5104604,human
1391,764,1770701895.5173244,human
1390,764,1770701895.530698,human
1390,764,1770701895.5697904,human
1390,764,1770701895.6225026,human
1390,763,1770701895.6495547,human
1391,763,1770701895.6688564,human
1392,763,1770701895.688894,human
1392,762,1770701895.6946495,human
1392,762,1770701895.7013164,human
1393,762,1770701895.714908,human
1395,762,1770701895.7208729,human
1396,762,1770701895.7279615,human
1399,762,1770701895.7342036,human
1402,763,1770701895.7410932,human
1405,765,1770701895.7474566,human
1408,766,1770701895.7539387,human
1411,768,1770701895.7605822,human
1414,769,1770701895.76736,human
1418,773,1770701895.7749524,human
1421,777,1770701895.7806058,human
1423,781,1770701895.7870586,human
